Hexagon Center,Number of Pixels,Alignment Metric,Adjusted Metric,Metric Squared,metric2
"(0.0, 360.0)",nan,nan,nan,nan,nan
"(69.28203230275508, 360.0)",nan,nan,nan,nan,nan
"(138.56406460551017, 360.0)",nan,nan,nan,nan,nan
"(207.84609690826525, 360.0)",nan,nan,nan,nan,nan
"(277.12812921102034, 360.0)",nan,nan,nan,nan,nan
"(346.4101615137754, 360.0)",nan,nan,nan,nan,nan
"(415.6921938165305, 360.0)",nan,nan,nan,nan,nan
"(484.9742261192856, 360.0)",98,0.17071642489895278,0.4685787514987233,0.029144097730279785,0.48003849683127675
"(554.2562584220407, 360.0)",170,0.7563443734040807,0.8499596912244047,0.5720568111800114,0.852199607523898
"(623.5382907247957, 360.0)",249,0.3607074227315241,0.5866574419251184,0.13010984481361845,0.5952626520022863
"(692.8203230275508, 360.0)",122,0.11922539870649196,0.337881785513153,0.014214695696721975,0.35250111108690413
"(762.102355330306, 360.0)",234,0.3525523717214152,0.5768070719105204,0.1242931748063949,0.5856504132574689
"(831.384387633061, 360.0)",236,0.5240019093714345,0.7035598432136023,0.2745780010249091,0.7093389546550879
"(900.6664199358161, 360.0)",200,0.2929240362486569,0.5246568743686464,0.08580449101220448,0.5347609391951749
"(969.9484522385712, 360.0)",290,0.16135475351789874,0.38788278536288534,0.026035356482821858,0.40129334400028094
"(1039.2304845413262, 360.0)",197,0.32401061622569927,0.5537520365918077,0.10498287942695737,0.5631527300815838
"(1108.5125168440813, 360.0)",281,0.22659751424376195,0.4608659975753499,0.0513464334614519,0.47251219761798596
"(1177.7945491468365, 360.0)",207,0.12021357174041203,0.33588028891508565,0.01445130283058719,0.3505480003794838
"(1247.0765814495915, 360.0)",142,0.3021903163745516,0.5348547728707379,0.0913189873105516,0.5447123049765871
"(1316.3586137523466, 360.0)",145,0.05222460872790258,0.23240779512999607,0.0027274097567825182,0.249576939159454
"(1385.6406460551016, 360.0)",113,0.31652787011525896,0.5482223193368808,0.10018989255970225,0.5577566929411594
"(1454.9226783578567, 360.0)",78,0.8070525532995816,0.8837957251539357,0.651333823787374,0.8852176602291667
"(1524.204710660612, 360.0)",134,0.6681149042972745,0.8122690293599608,0.44637752534415626,0.8154201119562884
"(1593.4867429633669, 360.0)",110,0.5080003975836929,0.7291436376788666,0.25806440394519004,0.7343042645910615
"(1662.768775266122, 360.0)",nan,nan,nan,nan,nan
"(1732.0508075688772, 360.0)",nan,nan,nan,nan,nan
"(1801.3328398716321, 360.0)",nan,nan,nan,nan,nan
"(1870.6148721743873, 360.0)",nan,nan,nan,nan,nan
"(1939.8969044771425, 360.0)",nan,nan,nan,nan,nan
"(2009.1789367798974, 360.0)",nan,nan,nan,nan,nan
"(2078.4609690826524, 360.0)",nan,nan,nan,nan,nan
"(2147.7430013854078, 360.0)",nan,nan,nan,nan,nan
"(2217.0250336881627, 360.0)",nan,nan,nan,nan,nan
"(2286.3070659909176, 360.0)",nan,nan,nan,nan,nan
"(2355.589098293673, 360.0)",nan,nan,nan,nan,nan
"(2424.871130596428, 360.0)",nan,nan,nan,nan,nan
"(2494.153162899183, 360.0)",nan,nan,nan,nan,nan
"(2563.4351952019383, 360.0)",nan,nan,nan,nan,nan
"(34.64101615137754, 420.0)",nan,nan,nan,nan,nan
"(103.92304845413263, 420.0)",nan,nan,nan,nan,nan
"(173.2050807568877, 420.0)",nan,nan,nan,nan,nan
"(242.4871130596428, 420.0)",nan,nan,nan,nan,nan
"(311.76914536239786, 420.0)",nan,nan,nan,nan,nan
"(381.0511776651529, 420.0)",nan,nan,nan,nan,nan
